group_id,user_id,status
wrong,12345678,accepted
39437,wrong,accepted
39437,12345678,wrong
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
39437,12345678,accepted
