user_id,role,section_id,status
12345675,spurious,212027890,active
12345671,student,212027890,supine
12345672,student,212027890,act ive
12345673,student,212027890,active
12345674,student,212027890,active
12345675,student,212027890,active
12345676,student,212027890,active
12345677,student,212027890,active
12345678,student,212027890,passive
12345679,stu dent,212027890,active
12345670,student,bogussectionid,active
12345671,student,212027890,active
12345672,student,212027890,active
12345673,student,212027890,active
12345674,instructor,212027890,active
12345675,student,212027890,active
12345671,student,212027890,active
12345672,student,212027890,active
12345673,student,212027890,active
12345674,student,212027890,active
12345675,student,212027890,active
12345676,student,212027890,active
12345677,instructor,212027890,active
12345678,student,212027890,passive
12345679,student,212027890,active
12345670,student,212027890,active
12345671,student,212027890,active
12345672,student,212027890,active
12345673,student,212027890,active
